City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Dingle,PH,77.56,overcast clouds,11.0,122.67,Camp Pasica
2,Tawau,MY,77.0,few clouds,4.25,117.89,Shervinton Executive Boutique Hotel
7,Ponta Do Sol,PT,75.0,clear sky,32.67,-17.1,Hotel do Campo
9,Kapaa,US,79.0,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
13,Gorom-Gorom,BF,88.11,light rain,14.44,-0.24,Mairie de Rambo
15,Vaini,TO,75.2,few clouds,-21.2,-175.2,Keleti Beach Resort
16,Atuona,PF,78.58,light rain,-9.8,-139.03,Villa Enata
17,Georgetown,MY,80.6,scattered clouds,5.41,100.34,Cititel Penang
18,Lodhikheda,IN,75.2,haze,21.58,78.83,CWC office Lodhikheda
23,Arraial Do Cabo,BR,89.6,clear sky,-22.97,-42.03,Pousada Porto Praia
27,Hutchinson,US,82.0,overcast clouds,38.06,-97.93,Hampton Inn Hutchinson
28,Scottsbluff,US,90.0,clear sky,41.87,-103.67,Hampton Inn & Suites Scottsbluff-Conference Center
29,Leua,SK,84.0,overcast clouds,48.22,18.61,Business Hotel ASTRUM Laus
40,Seydi,TM,78.94,scattered clouds,39.48,62.91,Çagalar Dünýäsi
41,Puerto Ayora,EC,75.2,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
42,Tiarei,PF,77.0,few clouds,-17.53,-149.33,Le Rocher de Tahiti
43,Butaritari,KI,82.49,scattered clouds,3.07,172.79,Isles Sunset Lodge
47,Victoria,HK,84.0,light rain,22.29,114.16,Mini Hotel Central
48,Castro,BR,79.99,clear sky,-24.79,-50.01,CHACARA BAILLY
49,Caravelas,BR,79.56,scattered clouds,-17.71,-39.25,Pousada dos Navegantes
55,Marawi,PH,77.0,overcast clouds,8.0,124.29,Salihmaruhom
59,Luwuk,ID,78.04,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
61,Abu Zabad,SD,80.02,light rain,12.35,29.25,محي الدين نوري
62,Hithadhoo,MV,82.24,few clouds,-0.6,73.08,Scoop Guest House
64,Hobyo,SO,78.19,clear sky,5.35,48.53,Osmani Hotel
65,Lubao,PH,78.8,broken clouds,14.92,120.55,Hacienda Gracia
74,Ampanihy,MG,75.27,broken clouds,-24.7,44.75,Angora Hotel
76,Masyaf,SY,84.2,clear sky,35.07,36.34,Hotel restaurants and tourist Misyaf
77,Manokwari,ID,78.8,light rain,-0.87,134.08,Swiss Belhotel Manokwari
79,Bethel,US,75.99,few clouds,41.37,-73.41,Courtyard by Marriott Danbury
80,Sao Filipe,CV,79.32,scattered clouds,14.9,-24.5,Tortuga B&B
88,Bighapur,IN,82.4,mist,26.35,80.68,Tamatar The Restaurant
90,Monmouth,US,78.01,broken clouds,40.3,-74.17,Colts Neck Inn Hotel
93,Bandarbeyla,SO,77.13,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
99,Guerrero Negro,MX,79.43,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
101,Laguna,US,75.0,haze,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
102,Ouargaye,BF,79.63,broken clouds,11.5,0.06,Auberge Belle Etoile
104,Vila Franca Do Campo,PT,77.0,scattered clouds,37.72,-25.43,Pestana Bahia Praia
106,Tikamgarh,IN,75.58,clear sky,24.75,78.83,White House
111,Eyl,SO,78.39,overcast clouds,7.98,49.82,Amiin Hotel
114,Shingu,JP,76.32,few clouds,33.73,135.98,Shingu UI Hotel
116,Kieta,PG,79.9,broken clouds,-6.22,155.63,
119,Fukue,JP,84.11,clear sky,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
123,Katsuura,JP,80.6,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
129,Hasaki,JP,77.0,scattered clouds,35.73,140.83,Inubosaki Kanko Hotel
130,Mason City,US,75.0,clear sky,43.15,-93.2,Days Inn by Wyndham Mason City
132,Namatanai,PG,79.02,light rain,-3.67,152.43,Namatanai Hotel
135,San Juan Pueblo,HN,89.6,few clouds,15.58,-87.23,Finca Kathy
137,Becej,RS,86.32,clear sky,45.62,20.03,Club 4 Rooms
138,Isla Mujeres,MX,88.0,scattered clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
141,Ponta Delgada,PT,77.0,scattered clouds,37.73,-25.67,Vila Nova Hotel
143,Kupang,ID,75.42,scattered clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
153,Banda Aceh,ID,80.11,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
155,Hamilton,US,80.01,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
162,Guantanamo,CU,89.01,few clouds,20.14,-75.21,Hotel Marti
166,Tariba,VE,86.0,scattered clouds,7.82,-72.22,Hotel Las Lomas
167,Sao Joao Da Barra,BR,84.2,few clouds,-21.64,-41.05,Pousada Porto De Canoas
172,Phetchabun,TH,77.61,overcast clouds,16.25,101.08,วินธนา รีสอร์ท
177,Seoul,KR,77.0,clear sky,37.57,126.98,LOTTE HOTEL SEOUL
184,Fasa,IR,84.2,clear sky,28.94,53.65,Fasa University Boys' Dormitory
187,Kayes,ML,82.08,moderate rain,14.0,-11.0,
192,Atyrau,KZ,78.8,clear sky,47.12,51.88,River Palace Hotel
197,Ribeira Grande,PT,78.8,scattered clouds,38.52,-28.7,Quinta da Meia Eira
