City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Dingle,PH,2020-08-30 18:03:53,11.0,122.67,77.56,84,100,5.1,overcast clouds
1,Qinhuangdao,CN,2020-08-30 18:03:53,39.93,119.59,69.67,84,13,1.25,few clouds
2,Tawau,MY,2020-08-30 18:03:53,4.25,117.89,77.0,88,20,3.36,few clouds
3,Arman,RU,2020-08-30 18:03:54,59.7,150.17,44.8,61,0,4.97,clear sky
4,Albany,US,2020-08-30 18:03:02,42.6,-73.97,71.01,43,22,4.0,few clouds
5,Tasiilaq,GL,2020-08-30 18:02:48,65.61,-37.64,44.6,70,100,2.24,overcast clouds
6,Pahrump,US,2020-08-30 18:03:55,36.21,-115.98,93.99,9,0,3.0,clear sky
7,Ponta Do Sol,PT,2020-08-30 18:03:55,32.67,-17.1,75.0,42,5,5.17,clear sky
8,Mataura,NZ,2020-08-30 18:03:55,-46.19,168.86,45.0,72,47,11.01,scattered clouds
9,Kapaa,US,2020-08-30 17:59:49,22.08,-159.32,79.0,74,40,16.11,scattered clouds
10,Busselton,AU,2020-08-30 18:03:56,-33.65,115.33,42.01,72,0,4.74,clear sky
11,Celestun,MX,2020-08-30 18:03:56,20.87,-90.4,90.12,57,16,4.21,few clouds
12,Tuktoyaktuk,CA,2020-08-30 18:03:56,69.45,-133.04,41.0,93,90,16.11,mist
13,Gorom-Gorom,BF,2020-08-30 18:03:57,14.44,-0.24,88.11,55,96,9.33,light rain
14,Rikitea,PF,2020-08-30 18:03:57,-23.12,-134.97,69.22,83,70,19.75,light rain
15,Vaini,TO,2020-08-30 18:03:58,-21.2,-175.2,75.2,88,20,9.17,few clouds
16,Atuona,PF,2020-08-30 18:03:58,-9.8,-139.03,78.58,79,48,22.68,light rain
17,Georgetown,MY,2020-08-30 18:03:58,5.41,100.34,80.6,94,40,3.36,scattered clouds
18,Lodhikheda,IN,2020-08-30 18:03:59,21.58,78.83,75.2,94,20,3.44,haze
19,Saskylakh,RU,2020-08-30 18:01:42,71.92,114.08,46.87,82,63,3.89,broken clouds
20,East London,ZA,2020-08-30 18:02:50,-33.02,27.91,51.8,62,30,10.29,scattered clouds
21,Chuy,UY,2020-08-30 18:03:59,-33.7,-53.46,52.23,58,98,5.03,overcast clouds
22,Saint-Joseph,RE,2020-08-30 18:03:59,-21.37,55.62,68.0,77,15,8.05,light rain
23,Arraial Do Cabo,BR,2020-08-30 18:00:05,-22.97,-42.03,89.6,55,0,9.17,clear sky
24,Nikolskoye,RU,2020-08-30 18:04:00,59.7,30.79,60.8,82,20,4.47,few clouds
25,Aswan,EG,2020-08-30 18:04:00,24.09,32.91,93.99,11,0,9.93,clear sky
26,Hilo,US,2020-08-30 18:00:05,19.73,-155.09,73.4,83,1,7.23,clear sky
27,Hutchinson,US,2020-08-30 18:04:00,38.06,-97.93,82.0,69,90,5.82,overcast clouds
28,Scottsbluff,US,2020-08-30 18:04:01,41.87,-103.67,90.0,19,1,19.46,clear sky
29,Leua,SK,2020-08-30 18:04:01,48.22,18.61,84.0,53,99,4.0,overcast clouds
30,Ushuaia,AR,2020-08-30 18:00:06,-54.8,-68.3,28.4,86,75,25.28,snow
31,Cidreira,BR,2020-08-30 18:04:02,-30.18,-50.21,58.08,92,100,14.61,light rain
32,Fort Nelson,CA,2020-08-30 18:04:02,58.81,-122.7,50.0,76,20,8.05,few clouds
33,Jamestown,US,2020-08-30 18:04:02,42.1,-79.24,69.01,68,90,8.05,overcast clouds
34,Ystad,SE,2020-08-30 18:04:02,55.43,13.82,64.4,72,12,5.82,few clouds
35,Port Alfred,ZA,2020-08-30 18:04:03,-33.59,26.89,52.0,68,32,12.06,scattered clouds
36,Souillac,MU,2020-08-30 18:02:57,-20.52,57.52,71.6,83,75,13.87,light intensity shower rain
37,Omboue,GA,2020-08-30 18:03:37,-1.57,9.26,74.8,83,75,10.67,broken clouds
38,Boddam,GB,2020-08-30 18:04:03,57.47,-1.78,53.6,76,11,4.7,few clouds
39,Port Elizabeth,ZA,2020-08-30 18:03:03,-33.92,25.57,50.0,81,20,9.17,few clouds
40,Seydi,TM,2020-08-30 18:04:03,39.48,62.91,78.94,17,34,11.39,scattered clouds
41,Puerto Ayora,EC,2020-08-30 18:04:04,-0.74,-90.35,75.2,60,20,13.87,few clouds
42,Tiarei,PF,2020-08-30 18:04:04,-17.53,-149.33,77.0,65,20,4.7,few clouds
43,Butaritari,KI,2020-08-30 18:04:04,3.07,172.79,82.49,74,37,11.52,scattered clouds
44,Kaitangata,NZ,2020-08-30 18:04:04,-46.28,169.85,55.99,40,100,13.0,overcast clouds
45,Yellowknife,CA,2020-08-30 18:04:05,62.46,-114.35,52.0,66,20,17.22,few clouds
46,Zhezkazgan,KZ,2020-08-30 18:04:05,47.8,67.71,71.6,28,0,13.42,clear sky
47,Victoria,HK,2020-08-30 18:04:05,22.29,114.16,84.0,79,95,3.0,light rain
48,Castro,BR,2020-08-30 18:00:28,-24.79,-50.01,79.99,41,0,5.44,clear sky
