City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tasiilaq,GL,2020-08-27 16:43:18,65.61,-37.64,39.2,80,20,10.29
1,Kudahuvadhoo,MV,2020-08-27 16:43:18,2.67,72.89,83.53,70,100,11.32
2,Georgetown,MY,2020-08-27 16:43:18,5.41,100.34,80.6,88,20,4.7
3,Bengkulu,ID,2020-08-27 16:43:18,-3.8,102.27,76.17,84,2,5.68
4,Ribeira Grande,PT,2020-08-27 16:43:19,38.52,-28.7,77.0,88,75,5.82
5,Shorewood,US,2020-08-27 16:45:47,41.52,-88.2,91.0,62,1,9.17
6,Hermanus,ZA,2020-08-27 16:45:47,-34.42,19.23,59.0,80,47,1.99
7,Avarua,CK,2020-08-27 16:45:47,-21.21,-159.78,71.6,78,86,3.36
8,Winnemucca,US,2020-08-27 16:43:19,40.97,-117.74,75.2,33,1,6.93
9,Bluff,NZ,2020-08-27 16:45:48,-46.6,168.33,42.53,81,88,12.8
10,San Cristobal,VE,2020-08-27 16:45:48,7.77,-72.22,89.6,52,20,5.82
11,Albany,US,2020-08-27 16:43:15,42.6,-73.97,63.0,90,100,3.71
12,Kadoma,JP,2020-08-27 16:45:48,34.73,135.58,80.01,50,3,25.01
13,Saint-Jean-De-La-Ruelle,FR,2020-08-27 16:43:20,47.91,1.86,78.8,44,22,19.46
14,Mecca,SA,2020-08-27 16:43:20,21.43,39.83,91.0,30,94,8.88
15,Balky,UA,2020-08-27 16:43:20,47.38,34.94,79.0,27,27,2.24
16,Jamestown,US,2020-08-27 16:43:20,42.1,-79.24,82.99,74,90,13.87
17,Adre,TD,2020-08-27 16:43:21,13.47,22.2,83.53,61,58,1.92
18,Strezhevoy,RU,2020-08-27 16:43:21,60.73,77.59,55.4,87,56,2.24
19,Pangnirtung,CA,2020-08-27 16:43:21,66.15,-65.71,46.4,87,20,10.29
20,Pansemal,IN,2020-08-27 16:43:21,21.65,74.7,76.77,85,100,10.65
21,Butaritari,KI,2020-08-27 16:43:21,3.07,172.79,81.9,70,66,10.16
22,Kachug,RU,2020-08-27 16:43:21,53.96,105.88,55.15,81,100,3.51
23,Ushuaia,AR,2020-08-27 16:39:53,-54.8,-68.3,42.8,38,40,21.92
24,Samarai,PG,2020-08-27 16:43:22,-10.62,150.67,77.58,85,99,21.56
25,Kapaa,US,2020-08-27 16:43:22,22.08,-159.32,72.0,77,75,5.82
26,Esperance,AU,2020-08-27 16:43:22,-33.87,121.9,53.6,93,0,14.99
27,Lida,BY,2020-08-27 16:43:22,53.88,25.3,61.29,89,48,6.26
28,San Patricio,MX,2020-08-27 16:43:22,19.22,-104.7,75.2,100,90,28.86
29,Knysna,ZA,2020-08-27 16:43:23,-34.04,23.05,59.0,67,1,5.82
30,Port-Cartier,CA,2020-08-27 16:42:04,50.03,-66.87,55.4,71,75,16.11
31,Dwarka,IN,2020-08-27 16:43:23,22.24,68.97,82.36,84,94,15.03
32,Guerrero Negro,MX,2020-08-27 16:43:23,27.98,-114.06,85.37,51,0,2.44
33,Mataura,NZ,2020-08-27 16:38:46,-46.19,168.86,36.19,88,82,3.67
34,Zhangye,CN,2020-08-27 16:43:23,38.93,100.45,67.26,27,13,2.17
35,Nautanwa,IN,2020-08-27 16:42:44,27.43,83.42,81.95,73,50,7.38
36,Hobart,AU,2020-08-27 16:39:11,-42.88,147.33,46.4,78,40,13.87
37,Tiksi,RU,2020-08-27 16:43:24,71.69,128.87,38.62,83,0,2.82
38,Sao Joao Da Barra,BR,2020-08-27 16:43:24,-21.64,-41.05,78.8,61,75,6.93
39,Punta Arenas,CL,2020-08-27 16:43:24,-53.15,-70.92,39.2,60,40,29.97
40,Lavrentiya,RU,2020-08-27 16:43:24,65.58,-171.0,45.27,87,15,3.11
41,Vaini,TO,2020-08-27 16:43:24,-21.2,-175.2,66.2,100,96,4.7
42,Bandarbeyla,SO,2020-08-27 16:43:24,9.49,50.81,77.07,79,100,30.69
43,Pevek,RU,2020-08-27 16:43:24,69.7,170.31,35.74,95,11,1.81
44,Luderitz,NA,2020-08-27 16:43:25,-26.65,15.16,58.06,69,0,21.7
45,New Norfolk,AU,2020-08-27 16:43:25,-42.78,147.06,46.0,79,8,3.0
46,Cherskiy,RU,2020-08-27 16:43:25,68.75,161.3,36.59,94,100,2.57
47,Hambantota,LK,2020-08-27 16:43:25,6.12,81.12,80.17,79,34,15.55
48,Barrow,US,2020-08-27 16:40:02,71.29,-156.79,37.4,93,90,13.87
49,Kahului,US,2020-08-27 16:43:25,20.89,-156.47,78.8,65,40,10.29
50,Rikitea,PF,2020-08-27 16:43:25,-23.12,-134.97,67.6,61,0,1.81
51,Mar Del Plata,AR,2020-08-27 16:39:11,-38.0,-57.56,64.4,39,0,12.75
52,Luton,GB,2020-08-27 16:43:26,51.88,-0.42,60.01,87,100,10.29
53,Chokurdakh,RU,2020-08-27 16:43:26,70.63,147.92,34.48,89,100,6.42
54,Port Shepstone,ZA,2020-08-27 16:43:26,-30.74,30.45,66.09,78,31,22.91
55,Mount Gambier,AU,2020-08-27 16:43:26,-37.83,140.77,37.4,100,2,6.93
56,San Policarpo,PH,2020-08-27 16:43:26,12.18,125.51,79.92,84,100,5.5
57,Bambous Virieux,MU,2020-08-27 16:43:27,-20.34,57.76,71.6,83,40,12.75
58,Busselton,AU,2020-08-27 16:43:27,-33.65,115.33,50.0,77,1,6.6
59,Upernavik,GL,2020-08-27 16:43:27,72.79,-56.15,44.58,66,98,9.08
60,Sungai Besar,MY,2020-08-27 16:43:27,3.67,100.99,78.8,94,20,1.12
61,Carnarvon,AU,2020-08-27 16:43:27,-24.87,113.63,66.2,100,25,6.93
62,Kalianget,ID,2020-08-27 16:43:27,-7.05,113.93,80.38,71,1,15.08
63,Olinda,BR,2020-08-27 16:40:08,-8.01,-34.86,82.4,58,40,14.99
64,Kruisfontein,ZA,2020-08-27 16:43:28,-34.0,24.73,61.0,63,0,1.99
65,Baykit,RU,2020-08-27 16:43:28,61.67,96.37,53.55,85,89,2.42
66,Belmonte,BR,2020-08-27 16:43:28,-15.86,-38.88,77.0,65,40,8.05
67,Paamiut,GL,2020-08-27 16:43:29,61.99,-49.67,43.03,78,100,2.28
68,Cape Town,ZA,2020-08-27 16:42:34,-33.93,18.42,61.0,63,40,9.17
69,Itarema,BR,2020-08-27 16:43:29,-2.92,-39.92,84.74,55,85,19.26
